Brand,Product_Name,Product_Link,Product_Category,Descriptions,details,details_split,Product_Details,Ingredients,how_to_use,duplicated,Price_Range,Price with dollar sign and valid decimals,Price no Kit,Cleaned Price
The Ordinary,100% Cold Pressed Virgin Marula Oil,https://www.ulta.com/p/100-cold-pressed-virgin-marula-oil-pimprod2007099?sku=2551160,Oil & Serum,"The Ordinary's 100% Cold Pressed Virgin Marula Oil is a hydration support oil with unrefined, antioxidant-rich oil extracted from the fruit kernels of marula trees. This oil is great for those looking for solutions for hair frizz, uneven tone, dehydration, and antioxidant support.","Details
Benefits
Replenishes lost moisture
Maintains healthy-looking skin
Provides enhanced barrier support
Key Ingredients
100% Cold Pressed Virgin Marula Oil
Formulated Without
Fragrance
Alcohol
Gluten
Silicone
Parabens
Sulfates
Mineral Oil
Methylchloroisothiazolinone
Methylisothiazolinone
Animal Oils
Coal Tar Dyes
Formaldehyde
Mercury
Oxybenzone;Ingredients
Sclerocarya Birrea Seed Oil.","['Details\nBenefits\nReplenishes lost moisture\nMaintains healthy-looking skin\nProvides enhanced barrier support\nKey Ingredients\n100% Cold Pressed Virgin Marula Oil\nFormulated Without\nFragrance\nAlcohol\nGluten\nSilicone\nParabens\nSulfates\nMineral Oil\nMethylchloroisothiazolinone\nMethylisothiazolinone\nAnimal Oils\nCoal Tar Dyes\nFormaldehyde\nMercury\nOxybenzone', 'Ingredients\nSclerocarya Birrea Seed Oil.']","Details
Benefits
Replenishes lost moisture
Maintains healthy-looking skin
Provides enhanced barrier support
Key Ingredients
100% Cold Pressed Virgin Marula Oil
Formulated Without
Fragrance
Alcohol
Gluten
Silicone
Parabens
Sulfates
Mineral Oil
Methylchloroisothiazolinone
Methylisothiazolinone
Animal Oils
Coal Tar Dyes
Formaldehyde
Mercury
Oxybenzone","Ingredients
Sclerocarya Birrea Seed Oil.",,FALSE,11.4,$11.40,$11.40,$11.40
OLAPLEX,No. 5 Bond Maintenance Strengthening and Reparative Hair Conditioner,https://www.ulta.com/p/no-5-bond-maintenance-strengthening-reparative-hair-conditioner-pimprod2029349?sku=2591016,Conditioner,"A reparative conditioner that leaves hair easy to manage, shiny and healthier. OLAPLEX NÂ°5 Bond Maintenance Conditioner benefits all damage-prone hair types and textures.","How To Use
After shampooing with No.4 Bond MaintenanceÂ® Shampoo, apply to mid-lengths and ends. Let sit for 1-3 minutes. Rinse.
Pro Tip: Use No.5 Conditioner for every hair wash, with No.4 to add extra shine and strength to your hair.
When To Use: Formulated for daily/every wash use.;Ingredients
Water (Aqua/Eau), Cetearyl Alcohol, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Cetyl Alcohol,Octyldodecyl Ricinoleate, Quaternium-91, Cetrimonium Chloride, Divinyldimethicone/Dimethicone Copolymer, Behentrimonium Chloride, Glycerin, Isododecane, Cetyl Esters, Bis-Aminopropyl Diglycol Dimaleate, Panthenol, Phospholipds, Dimethicone PEG-7 Isostearate, Hydroxypropyl Guar, Glycine Soya (Soybean) Oil, PEG-45M, PEG-7 Amodimethicone, Amodimethicone, C12-13 Pareth-23, C12-13 Pareth-3, Disodium EDTA, Polysilicone-15, Camellia Sinensis Seed Oil, C11-15 Pareth-7, Sodium Polyaspartate, Hydroxypropyl Cyclodextrin, Crambe Abyssinica Seed Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Laureth-9, Trideceth-12, Butylene Glycol, Citric Acid, Ahnfeltiopsis Concinna Extract, Silica, Acetic Acid, Etidronic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Glycol, Sodium Acetate, PEG-4 Laurate, PEG-4 Dilaurate, BHT, Hydrolyzed Hyaluronic Acid, PEG-4, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Tocopheryl Linoleate/Oleate, Helianthus Annus (Sunflower) Seed Oil, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Punica Granatum Extract, Morinda Citrifolia Fruit Extract, Euterpe Oleracea Fruit Extract, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium, Polyacrylate, Tocopherol, Biotin, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iodpropynyl Butylcarbamate, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene.","['How To Use\nAfter shampooing with No.4 Bond MaintenanceÂ® Shampoo, apply to mid-lengths and ends. Let sit for 1-3 minutes. Rinse.\nPro Tip: Use No.5 Conditioner for every hair wash, with No.4 to add extra shine and strength to your hair.\nWhen To Use: Formulated for daily/every wash use.', 'Ingredients\nWater (Aqua/Eau), Cetearyl Alcohol, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Cetyl Alcohol,Octyldodecyl Ricinoleate, Quaternium-91, Cetrimonium Chloride, Divinyldimethicone/Dimethicone Copolymer, Behentrimonium Chloride, Glycerin, Isododecane, Cetyl Esters, Bis-Aminopropyl Diglycol Dimaleate, Panthenol, Phospholipds, Dimethicone PEG-7 Isostearate, Hydroxypropyl Guar, Glycine Soya (Soybean) Oil, PEG-45M, PEG-7 Amodimethicone, Amodimethicone, C12-13 Pareth-23, C12-13 Pareth-3, Disodium EDTA, Polysilicone-15, Camellia Sinensis Seed Oil, C11-15 Pareth-7, Sodium Polyaspartate, Hydroxypropyl Cyclodextrin, Crambe Abyssinica Seed Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Laureth-9, Trideceth-12, Butylene Glycol, Citric Acid, Ahnfeltiopsis Concinna Extract, Silica, Acetic Acid, Etidronic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Glycol, Sodium Acetate, PEG-4 Laurate, PEG-4 Dilaurate, BHT, Hydrolyzed Hyaluronic Acid, PEG-4, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Tocopheryl Linoleate/Oleate, Helianthus Annus (Sunflower) Seed Oil, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Punica Granatum Extract, Morinda Citrifolia Fruit Extract, Euterpe Oleracea Fruit Extract, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium, Polyacrylate, Tocopherol, Biotin, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iodpropynyl Butylcarbamate, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene.']",,"Ingredients
Water (Aqua/Eau), Cetearyl Alcohol, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Cetyl Alcohol,Octyldodecyl Ricinoleate, Quaternium-91, Cetrimonium Chloride, Divinyldimethicone/Dimethicone Copolymer, Behentrimonium Chloride, Glycerin, Isododecane, Cetyl Esters, Bis-Aminopropyl Diglycol Dimaleate, Panthenol, Phospholipds, Dimethicone PEG-7 Isostearate, Hydroxypropyl Guar, Glycine Soya (Soybean) Oil, PEG-45M, PEG-7 Amodimethicone, Amodimethicone, C12-13 Pareth-23, C12-13 Pareth-3, Disodium EDTA, Polysilicone-15, Camellia Sinensis Seed Oil, C11-15 Pareth-7, Sodium Polyaspartate, Hydroxypropyl Cyclodextrin, Crambe Abyssinica Seed Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Laureth-9, Trideceth-12, Butylene Glycol, Citric Acid, Ahnfeltiopsis Concinna Extract, Silica, Acetic Acid, Etidronic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Glycol, Sodium Acetate, PEG-4 Laurate, PEG-4 Dilaurate, BHT, Hydrolyzed Hyaluronic Acid, PEG-4, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Tocopheryl Linoleate/Oleate, Helianthus Annus (Sunflower) Seed Oil, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Punica Granatum Extract, Morinda Citrifolia Fruit Extract, Euterpe Oleracea Fruit Extract, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium, Polyacrylate, Tocopherol, Biotin, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iodpropynyl Butylcarbamate, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene.","How To Use
After shampooing with No.4 Bond MaintenanceÂ® Shampoo, apply to mid-lengths and ends. Let sit for 1-3 minutes. Rinse.
Pro Tip: Use No.5 Conditioner for every hair wash, with No.4 to add extra shine and strength to your hair.
When To Use: Formulated for daily/every wash use.",FALSE,$30.00 - $54.00,$30.00 - $54.00,$30.00 - $54.00,$30.00 - $54.00
OLAPLEX,Holiday Discovery Kit,https://www.ulta.com/p/holiday-discovery-kit-pimprod2047693?sku=2629764,Oil & Serum,"See the results of a complete OLAPLEX routine for hair that shines with strength. The Holiday Discovery Kit includes a full-sized OLAPLEX NÂ°.7 Bonding Oil and a system of minis to repair, strengthen, and protect as you treat, cleanse, and style for visibly healthier hair start to finish.","Details
Benefits
Strengthen, protect, and repair damage
Reduce frizz, flyaways, and breakage
Formulated without Parabens, Phthalates, Sulfates (SLS & SLES ONLY), DEA, Nuts and Gluten Free
Includes
No.3 Hair Perfectorâ„¢ (1.0 oz)
No.6 Bond SmootherÂ® (0,68 oz)
No.9 Bond Protector Nourishing Hair Serum (0,68 oz)
No.7 Bonding Oil (1.0 oz)
No.4 Bond Maintenance Shampoo (1.0 oz)
No.5 Bond Maintenance Conditioner (1.0 oz)
No.8 Bond Intense Moisture Mask (1.0 oz)
No.4C Bond Maintenance Clarifying Shampoo (0.68 oz)
Research Results
90% smoother, better detangling, more conditioned* (NÂ° 3 + NÂ°.4 + NÂ°5)
***compared to bleached hair without application of OLAPLEX NÂ°. 7 BONDING OILâ„¢;How To Use
STEP 1: NÂ°. 3 Hair Perfectorâ„¢: 1x a week: Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.
STEP 2: NÂ°.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.
STEP 3: NÂ°.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.
STEP 4: NÂº.9 BOND PROTECTOR NOURISHING HAIR SERUM: The first step in your styling routine, apply a small amount to damp hair working upward from ends to roots. Use more as needed for longer, thicker hair.
STEP 5: NÂº.6 BOND SMOOTHERÂ®: Apply a very small amount to damp or dry hair, focusing on mid-lengths through ends.
STEP 6: OLAPLEX NÂ°.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.
WEEKLY HAIR RESET:
STEP 1: NÂ°.4C Bond MaintenanceÂ® Clarifying Shampoo: Apply to wet hair. Concentrate on the scalp and work through to ends. Lather fully and leave on up to 5 minutes. Rinse well.
STEP 2: NÂ°.8 Bond Intense Moisture Mask: Apply to clean, damp hair mid-length to ends and work through with fingers. Leave on for 10 minutes. Rinse well. Use weekly in place of NÂ°.5.","['Details\nBenefits\nStrengthen, protect, and repair damage\nReduce frizz, flyaways, and breakage\nFormulated without Parabens, Phthalates, Sulfates (SLS & SLES ONLY), DEA, Nuts and Gluten Free\nIncludes\nNo.3 Hair Perfectorâ„¢ (1.0 oz)\nNo.6 Bond SmootherÂ® (0,68 oz)\nNo.9 Bond Protector Nourishing Hair Serum (0,68 oz)\nNo.7 Bonding Oil (1.0 oz)\nNo.4 Bond Maintenance Shampoo (1.0 oz)\nNo.5 Bond Maintenance Conditioner (1.0 oz)\nNo.8 Bond Intense Moisture Mask (1.0 oz)\nNo.4C Bond Maintenance Clarifying Shampoo (0.68 oz)\nResearch Results\n90% smoother, better detangling, more conditioned* (NÂ° 3 + NÂ°.4 + NÂ°5)\n***compared to bleached hair without application of OLAPLEX NÂ°. 7 BONDING OILâ„¢', 'How To Use\nSTEP 1: NÂ°. 3 Hair Perfectorâ„¢: 1x a week: Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.\nSTEP 2: NÂ°.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.\nSTEP 3: NÂ°.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.\nSTEP 4: NÂº.9 BOND PROTECTOR NOURISHING HAIR SERUM: The first step in your styling routine, apply a small amount to damp hair working upward from ends to roots. Use more as needed for longer, thicker hair.\nSTEP 5: NÂº.6 BOND SMOOTHERÂ®: Apply a very small amount to damp or dry hair, focusing on mid-lengths through ends.\nSTEP 6: OLAPLEX NÂ°.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.\nWEEKLY HAIR RESET:\nSTEP 1: NÂ°.4C Bond MaintenanceÂ® Clarifying Shampoo: Apply to wet hair. Concentrate on the scalp and work through to ends. Lather fully and leave on up to 5 minutes. Rinse well.\nSTEP 2: NÂ°.8 Bond Intense Moisture Mask: Apply to clean, damp hair mid-length to ends and work through with fingers. Leave on for 10 minutes. Rinse well. Use weekly in place of NÂ°.5.']","Details
Benefits
Strengthen, protect, and repair damage
Reduce frizz, flyaways, and breakage
Formulated without Parabens, Phthalates, Sulfates (SLS & SLES ONLY), DEA, Nuts and Gluten Free
Includes
No.3 Hair Perfectorâ„¢ (1.0 oz)
No.6 Bond SmootherÂ® (0,68 oz)
No.9 Bond Protector Nourishing Hair Serum (0,68 oz)
No.7 Bonding Oil (1.0 oz)
No.4 Bond Maintenance Shampoo (1.0 oz)
No.5 Bond Maintenance Conditioner (1.0 oz)
No.8 Bond Intense Moisture Mask (1.0 oz)
No.4C Bond Maintenance Clarifying Shampoo (0.68 oz)
Research Results
90% smoother, better detangling, more conditioned* (NÂ° 3 + NÂ°.4 + NÂ°5)
***compared to bleached hair without application of OLAPLEX NÂ°. 7 BONDING OILâ„¢","Ingredients
Please refer to product packaging for full list of ingredients.","How To Use
STEP 1: NÂ°. 3 Hair Perfectorâ„¢: 1x a week: Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.
STEP 2: NÂ°.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.
STEP 3: NÂ°.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.
STEP 4: NÂº.9 BOND PROTECTOR NOURISHING HAIR SERUM: The first step in your styling routine, apply a small amount to damp hair working upward from ends to roots. Use more as needed for longer, thicker hair.
STEP 5: NÂº.6 BOND SMOOTHERÂ®: Apply a very small amount to damp or dry hair, focusing on mid-lengths through ends.
STEP 6: OLAPLEX NÂ°.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.
WEEKLY HAIR RESET:
STEP 1: NÂ°.4C Bond MaintenanceÂ® Clarifying Shampoo: Apply to wet hair. Concentrate on the scalp and work through to ends. Lather fully and leave on up to 5 minutes. Rinse well.
STEP 2: NÂ°.8 Bond Intense Moisture Mask: Apply to clean, damp hair mid-length to ends and work through with fingers. Leave on for 10 minutes. Rinse well. Use weekly in place of NÂ°.5.",FALSE,$35.00Kit Price ($72 value)($72 value),$35.00Kit Price ($72 value)($72 value),$35.00 ($72 value),$35.00 ($72 value)
The Ordinary,100% Organic Cold-Pressed Moroccan Argan Oil,https://www.ulta.com/p/100-organic-cold-pressed-moroccan-argan-oil-pimprod2007101?sku=2551161,Oil & Serum,The Ordinary's 100% Organic Cold-Pressed Moroccan Argan Oil is a daily support formula that moisturizes the skin and softens/strengthens hair.,"Details
Benefits
Moisturizes the skin
Smooths over dry patches
Softens and strengthens hair
Formulated Without
Water
Alcohol
Silicone
Gluten;Ingredients
Argania Spinosa Kernel Oil.","['Details\nBenefits\nMoisturizes the skin\nSmooths over dry patches\nSoftens and strengthens hair\nFormulated Without\nWater\nAlcohol\nSilicone\nGluten', 'Ingredients\nArgania Spinosa Kernel Oil.']","Details
Benefits
Moisturizes the skin
Smooths over dry patches
Softens and strengthens hair
Formulated Without
Water
Alcohol
Silicone
Gluten","Ingredients
Argania Spinosa Kernel Oil.",,FALSE,7.8,$7.80,$7.80,$7.80
OLAPLEX,In Good Repair Strength & Shine Hair Kit,https://www.ulta.com/p/in-good-repair-strength-shine-hair-kit-pimprod2047694?sku=2629765,Oil & Serum,OLAPLEX's In Good Repair Strength & Shine Hair Kit is a limited edition collection of healthy hair bestsellers to repair and protect for stronger hair in as little as 3 minutes and 125% more shine.*,"Details
Benefits
Reverse hair damage and strengthen
Adds shine and heat protection
90% smoother, better detangling, more conditioned***(NÂ° 3 + NÂ°.4 + NÂ°5)
***when used as a system of NÂº.3, NÂº.4, NÂº.5
Formulated without: Parabens, Phthalates Sulfates (SLS&SLES Only) Nut, Gluten and DEA Free
Includes
No.7 Bonding Oil (1.0 oz)
No.3 Hair Perfector (1.7 oz)
No.4 Bond Maintenance Shampoo (3.3 oz)
No.5 Bond Maintenance Conditioner (3.3 oz)
Key Ingredients
Patented OLAPLEX Bond Building Technologyâ„¢: Patented and proven technology to repair broken bonds for stronger hair
Gentle blend of coconut oil-derived surfactants: Provides easy lather leaving the scalp and hair feeling hydrated
Panthenol: Provides moisture and helps prevent breakage
Blend of Coconut-derived Emollient, Vitamin E and Sunflower Seed Oil: Conditions, smoothes and provides shine;How To Use
STEP 1: NÂº.3 Hair Perfectorâ„¢: 1x a week:Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.
STEP 2: NÂº.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.
STEP 3: NÂº.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.
STEP 4: OLAPLEX NÂº.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.
WHEN TO USE
NÂº.3 can be used once per week, or two to three times a week for damaged hair.NÂº.4 and NÂº.5 can be used daily or any time you wash your hair. OLAPLEX NÂº.7 can be used daily on wet and dry hair, or before styling with heat.;Ingredients
Please refer to product packaging for full ingredients list.","['Details\nBenefits\nReverse hair damage and strengthen\nAdds shine and heat protection\n90% smoother, better detangling, more conditioned***(NÂ° 3 + NÂ°.4 + NÂ°5)\n***when used as a system of NÂº.3, NÂº.4, NÂº.5\nFormulated without: Parabens, Phthalates Sulfates (SLS&SLES Only) Nut, Gluten and DEA Free\nIncludes\nNo.7 Bonding Oil (1.0 oz)\nNo.3 Hair Perfector (1.7 oz)\nNo.4 Bond Maintenance Shampoo (3.3 oz)\nNo.5 Bond Maintenance Conditioner (3.3 oz)\nKey Ingredients\nPatented OLAPLEX Bond Building Technologyâ„¢: Patented and proven technology to repair broken bonds for stronger hair\nGentle blend of coconut oil-derived surfactants: Provides easy lather leaving the scalp and hair feeling hydrated\nPanthenol: Provides moisture and helps prevent breakage\nBlend of Coconut-derived Emollient, Vitamin E and Sunflower Seed Oil: Conditions, smoothes and provides shine', 'How To Use\nSTEP 1: NÂº.3 Hair Perfectorâ„¢: 1x a week:Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.\nSTEP 2: NÂº.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.\nSTEP 3: NÂº.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.\nSTEP 4: OLAPLEX NÂº.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.\nWHEN TO USE\nNÂº.3 can be used once per week, or two to three times a week for damaged hair.NÂº.4 and NÂº.5 can be used daily or any time you wash your hair. OLAPLEX NÂº.7 can be used daily on wet and dry hair, or before styling with heat.', 'Ingredients\nPlease refer to product packaging for full ingredients list.']","Details
Benefits
Reverse hair damage and strengthen
Adds shine and heat protection
90% smoother, better detangling, more conditioned***(NÂ° 3 + NÂ°.4 + NÂ°5)
***when used as a system of NÂº.3, NÂº.4, NÂº.5
Formulated without: Parabens, Phthalates Sulfates (SLS&SLES Only) Nut, Gluten and DEA Free
Includes
No.7 Bonding Oil (1.0 oz)
No.3 Hair Perfector (1.7 oz)
No.4 Bond Maintenance Shampoo (3.3 oz)
No.5 Bond Maintenance Conditioner (3.3 oz)
Key Ingredients
Patented OLAPLEX Bond Building Technologyâ„¢: Patented and proven technology to repair broken bonds for stronger hair
Gentle blend of coconut oil-derived surfactants: Provides easy lather leaving the scalp and hair feeling hydrated
Panthenol: Provides moisture and helps prevent breakage
Blend of Coconut-derived Emollient, Vitamin E and Sunflower Seed Oil: Conditions, smoothes and provides shine","Ingredients
Please refer to product packaging for full ingredients list.","How To Use
STEP 1: NÂº.3 Hair Perfectorâ„¢: 1x a week:Apply on damp hair prior to shampoo and conditioner. Apply a generous amount from roots to ends until hair is thoroughly saturated. Leave on for as little as 3 minutes. For optimal results leave on for up to 10 minutes. Rinse.
STEP 2: NÂº.4 Bond MaintenanceÂ® Shampoo: Dispense a coin-sized amount and work into a lather. Apply to wet hair and lather well. Rinse.
STEP 3: NÂº.5 Bond MaintenanceÂ® Conditioner: Apply to mid-lengths and ends of clean, wet hair. Let sit for 1-3 minutes. Rinse.
STEP 4: OLAPLEX NÂº.7 Bonding Oilâ„¢: Remove cap. Turn the bottle upside down and gently tap your index finger on the bottom of the bottle to dispense a metered drop. Start with 2-3 drops and apply to damp or dry hair, style as desired.
WHEN TO USE
NÂº.3 can be used once per week, or two to three times a week for damaged hair.NÂº.4 and NÂº.5 can be used daily or any time you wash your hair. OLAPLEX NÂº.7 can be used daily on wet and dry hair, or before styling with heat.",FALSE,$50.00Kit Price ($75 value)($75 value),$50.00Kit Price ($75 value)($75 value),$50.00 ($75 value),$50.00 ($75 value)
