Brand_Name,Product_Name,Price_Range
AG Care,The Oil Extra-Virgin Argan Smoothing Oil,$20.00
Redken,Frizz Dismiss Anti Static Oil Mist,$36.00
Drybar,Liquid Glass High-Gloss Finishing Serum,$30.00
Living Proof,No Frizz Smooth Styling Serum For Coarse Hair,$36.00
Joico,Blonde Life Brilliant Glow Brightening Oil,$19.60$28.00
Eco Style,Olive Oil Gel,$5.39$8.99
Rizos Curls,"Nourish Oil for Hair, Scalp & Body",$23.00
Pureology,Style + Protect Shine Bright Taming Serum,$32.00
KRISTIN ESS HAIR,Anytime Anywhere Scalp + Hair Milk Oil,$18.00
Not Your Mother's,Sleep On It Overnight Hydrating Serum Cream,$9.99
Kitsch,Rosemary Scalp & Hair Strengthening Oil,$19.00
Carol's Daughter,Goddess Strength 7 Oil Blend Hair & Scalp Oil,$12.99
Camille Rose,Rosemary Oil Strengthening Hair Drops,$12.99
dpHUE,ACV Daily Scalp Serum,$49.00
Kreyòl Essence,"Haitian Black Castor Oil - Mango, Papaya & Coconut",$24.00
Matrix,A Curl Can Dream Lightweight Oil,$25.00
L'Oréal,Elvive Hyaluron Plump Moisture Plump Serum,$8.99
BREAD BEAUTY SUPPLY,Travel Size Hair-Oil Everyday Gloss,$14.00
Camille Rose,Rejuva-Drops Grow Back Serum,$14.79
Biosilk,Silk Therapy with Organic Coconut Oil,$19.25 - $32.50
tgin,Miracle Styling Ayurvedic Hair & Scalp Oil,$11.99
Grow Gorgeous,Original Hair Density Serum,$35.00
Camille Rose,Cocoa Nibs & Honey Ultimate Growth Serum,$15.99
L'anza,Healing Style Smoother Balm,$32.00
Grow Gorgeous,Intense Hair Density Serum,$50.00
SheaMoisture,Amla Oil Bonding Oil,$15.99
Alterna,Caviar Anti-Aging Replenishing Moisture Hair Oil,$40.00
SEEN,Curly Creme,$27.00
Nioxin,Scalp Recovery System Scalp Soothing Serum,$40.00
L'anza,Keratin Healing Oil Rapid Bond Reconstructor,$52.00
PATTERN,Scalp Serum,$28.00
Briogeo,"Farewell Frizz Rosehip, Argan & Coconut Oil Blend",$30.00
Sexy Hair,Healthy Sexy Hair Moisturizing Love Oil,$24.95
Bondi Boost,Frizz Fix Serum for Smooth Sleek Hair,$24.00
Hot Tools,"Pro Artist Straight Heat, Heat Activated Straightening Serum",$25.00
Sun Bum,Anti-Frizz Oil Mist,$8.49$16.99
The Mane Choice,The Alpha Multi-Vitamin Scalp Growth Oil,$12.99
SheaMoisture,100% Pure Jamaican Black Castor Oil,$10.99
Design Essentials,Scalp & Skin Care Anti-Itch & Tension Relief,$9.99
Kenra Professional,Platinum Color Charge Spray Serum,$25.00
Drybar,Jump Start Quick Dry Blowout Serum,$29.00
Virtue,Fortifying Hair Repair Split End Serum,$42.00
Design Essentials,Skin & Scalp Care Edge Temple Serum,$9.99
It's A 10,Coily Miracle Gelled Oil For Defined Curls,$20.00
L'Oréal,Elvive Dream Lengths Frizz Killer Serum Leave-In,$8.99
OGX,Nourishing + Coconut Oil Weightless Hydrating Oil Mist,$10.69
Ouidad,VitalCurl+ Leave-In Styling Serum,$26.00
Briogeo,Destined for Density Thick + Full Hair Care Value Set,$135.00Kit Price ($181 value)($181 value)
Andrew Fitzsimons,Fantasy Curls Nourishing Serum,$16.00
Nioxin,Scalp Relief Scalp Soothing Serum,$40.00
PATTERN,Argan Oil Blend,$28.00
SheaMoisture,Anti-Hair Fall Scalp & Hair Oil,$10.99
Rizos Curls,"Strength Oil For Hair, Scalp & Body",$23.00
dpHUE,Color Fresh Oil Therapy,$36.00
Innersense Organic Beauty,Hair Renew Scalp Oil,$30.00
Joico,Colorful Glow Anti-Fade Serum for Instant Shine and UV Protection,$18.90$27.00
CurlMix,Growth Serum,$18.00
L'anza,Travel Size Healing Strength Neem Plant Silk Serum,$24.00
Pacifica,Jasmine Agave Strength + Shine Hair Oil,$19.00
SheaMoisture,Coconut & Hibiscus Smooth & Shine Oil,$12.99
BREAD BEAUTY SUPPLY,Scalp-Serum Exfoliating Scalp Treatment,$28.00
Bondi Boost,Heavenly Hydration Intensely Hydrating Hair Oil,$30.00
Garnier,Fructis Hair Filler Strength Repair Serum,$9.99
Bumble and bumble,Travel-Size Hydrating + Frizz Reducing Hair Set,$25.00Kit Price ($48 value)($48 value)
Kreyòl Essence,Haitian Black Castor Oil - Lavender Hibiscus,$20.00
Bed Head,Control Freak Frizz Control Serum For Smooth Shiny Hair,$23.50
DERMA E,Reparative Styling Hair Repair Oil,$8.10$13.50
Alterna,Caviar Anti-Aging Infinite Color Hold Dual-Use Serum,$37.00
Bed Head,Straighten Out Anti Frizz Serum For Smooth Shiny Hair,$23.50
Qhemet Biologics,Castor & Moringa Softening Serum,$14.50
Bondi Boost,Super Shine + Strength Oil Lightweight Styling Oil,$33.00
Mielle,Rosemary Mint Edge & Scalp Cleansing Oil,$7.69$10.99
Paul Mitchell,Tea Tree Lavender Mint Nourishing Oil,$27.00
OGX,Coconut Milk Anti-Breakage Serum,$10.69
Design Essentials,Agave & Lavender Serum,$8.99
Nick Stenson Beauty,Hydrating Oil,$44.00
Sunday || Sunday,Soothe Me Daily Scalp Serum,$28.00
Garnier,Fructis Hair Filler Color Repair Serum,$4.99$9.99
Maui Moisture,Scalp Care Soothe & Strengthen Hair Serum,$5.90$11.80
Mielle,Avocado & Tamanu Anti-Frizz Stay Straight Serum,$9.79$13.99
Better Not Younger,"Second Chance Hair, Face & Body Nourishing Oil",$36.00
Paul Mitchell,Tea Tree Hemp Replenishing Hair & Body Oil,$27.00
Innersense Organic Beauty,Hair Renew Scalp Pre Wash Treatment,$38.00
Design Essentials,Scalp & Skin Care Moisturizing Oil Treatment,$9.99
Paul Mitchell,Travel Size Awapuhi Wild Ginger Styling Treatment Oil,$10.50
Naturalicious,Spanish Almond Regrowth Oil,$23.00
Kreyòl Essence,"Soft Hair, Don't Care Slip+Shine Multi-Vitamin Hair Serum",$25.00
Mielle,Rosemary Mint Pomade-To-Oil Hair & Scalp Quencher,$7.69$10.99
IGK,Best Life 100% Plant Powered Nourishing Hair Oil,$32.00
tgin,Miracle RepaiRx Anti-Breakage Serum,$14.99
It's A 10,Scalp Restore Miracle Scalp Serum,$32.00
Virtue,Soothing Hyaluronic Acid Topical Scalp Supplement,$58.00
Andrew Fitzsimons,Virgin Repair Restructuring Serum,$16.00
OGX,Thick & Full Biotin & Collagen Weightless Oil Mist,$10.69
